127.0.0.1 - - [10/Aug/2017:09:36:42 +0530] "GET / HTTP/1.1" 404 1000
127.0.0.1 - - [10/Aug/2017:09:36:43 +0530] "GET /TodoApp/ HTTP/1.1" 200 1849
127.0.0.1 - - [10/Aug/2017:09:36:43 +0530] "GET /TodoApp/js/service/generatenewAccess.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2017:09:36:43 +0530] "GET /TodoApp/js/app.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2017:09:36:43 +0530] "GET /TodoApp/js/service/todoservice.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2017:09:36:43 +0530] "GET /TodoApp/css/home.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2017:09:36:43 +0530] "GET /TodoApp/js/controller/homeController.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2017:09:36:43 +0530] "GET /favicon.ico HTTP/1.1" 404 1022
127.0.0.1 - - [10/Aug/2017:09:36:43 +0530] "GET /favicon.ico HTTP/1.1" 404 1022
127.0.0.1 - - [10/Aug/2017:09:37:03 +0530] "POST /TodoApp/userlogin HTTP/1.1" 200 166
127.0.0.1 - - [10/Aug/2017:09:37:03 +0530] "GET /TodoApp/templates/home.html HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2017:09:37:03 +0530] "POST /TodoApp/app/getAllTodoTask HTTP/1.1" 200 2326
127.0.0.1 - - [10/Aug/2017:09:37:03 +0530] "GET /TodoApp/images/person_add_18px.svg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2017:09:37:03 +0530] "GET /TodoApp/images/colorImages/blue.png HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2017:09:37:03 +0530] "GET /TodoApp/images/colorImages/gray.png HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2017:09:37:03 +0530] "GET /TodoApp/images/colorImages/green.png HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2017:09:37:03 +0530] "GET /TodoApp/images/colorImages/white.png HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2017:09:37:03 +0530] "GET /TodoApp/images/colorImages/teal.png HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2017:09:37:03 +0530] "GET /TodoApp/images/colorImages/red.png HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2017:09:37:03 +0530] "GET /TodoApp/images/icons8-Image%20File-26.png HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2017:09:37:03 +0530] "GET /TodoApp/images/colorImages/orange.png HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2017:09:37:03 +0530] "GET /TodoApp/images/colorImages/yellow.png HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2017:09:37:03 +0530] "GET /TodoApp/images/clock.png HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2017:09:37:03 +0530] "GET /TodoApp/images/icons8-Delete%20Message%20Filled-50.png HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2017:09:57:04 +0530] "GET /TodoApp/ HTTP/1.1" 200 1849
127.0.0.1 - - [10/Aug/2017:09:57:05 +0530] "POST /TodoApp/app/getAllTodoTask HTTP/1.1" 200 2326
127.0.0.1 - - [10/Aug/2017:09:57:06 +0530] "GET /TodoApp/ HTTP/1.1" 200 1849
127.0.0.1 - - [10/Aug/2017:09:57:06 +0530] "POST /TodoApp/app/getAllTodoTask HTTP/1.1" 200 2326
127.0.0.1 - - [10/Aug/2017:09:57:06 +0530] "GET /TodoApp/ HTTP/1.1" 200 1849
