127.0.0.1 - - [18/Aug/2017:09:49:14 +0530] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [18/Aug/2017:09:49:15 +0530] "GET /TodoApp/ HTTP/1.1" 200 2025
0:0:0:0:0:0:0:1 - - [18/Aug/2017:09:49:15 +0530] "GET /TodoApp/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2017:09:49:15 +0530] "GET /TodoApp/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2017:09:49:15 +0530] "GET /TodoApp/js/controller/reminderController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2017:09:49:15 +0530] "GET /TodoApp/js/controller/homeController.js HTTP/1.1" 200 10705
0:0:0:0:0:0:0:1 - - [18/Aug/2017:09:49:15 +0530] "GET /favicon.ico HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [18/Aug/2017:09:49:15 +0530] "GET /favicon.ico HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [18/Aug/2017:09:49:25 +0530] "POST /TodoApp/userlogin HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [18/Aug/2017:09:49:25 +0530] "GET /TodoApp/templates/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2017:09:49:26 +0530] "GET /TodoApp/images/icons8-Google%20Alerts-48.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2017:09:49:26 +0530] "GET /TodoApp/templates/reminder.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2017:09:49:26 +0530] "GET /TodoApp/templates/trash.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2017:09:49:26 +0530] "POST /TodoApp/app/getAllTodoTask HTTP/1.1" 200 2845
0:0:0:0:0:0:0:1 - - [18/Aug/2017:09:49:34 +0530] "GET /TodoApp/ HTTP/1.1" 200 2025
0:0:0:0:0:0:0:1 - - [18/Aug/2017:09:49:34 +0530] "POST /TodoApp/app/getAllTodoTask HTTP/1.1" 200 2845
