127.0.0.1 - - [21/Aug/2017:10:13:49 +0530] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:13:50 +0530] "GET /TodoApp/ HTTP/1.1" 200 2025
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:13:50 +0530] "GET /TodoApp/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:13:50 +0530] "GET /TodoApp/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:13:50 +0530] "GET /TodoApp/js/controller/userLoginController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:13:50 +0530] "GET /TodoApp/js/controller/reminderController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:13:50 +0530] "GET /TodoApp/js/controller/homeController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:13:50 +0530] "GET /TodoApp/js/controller/trashcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:13:50 +0530] "GET /TodoApp/js/controller/archivecontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:13:50 +0530] "GET /TodoApp/js/service/todoservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:13:50 +0530] "GET /TodoApp/js/service/generatenewAccess.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:13:50 +0530] "GET /TodoApp/templates/userLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:13:50 +0530] "GET /favicon.ico HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:13:50 +0530] "GET /favicon.ico HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:13:53 +0530] "GET /TodoApp/bower_components/angular-ui-router/release/angular-ui-router.js.map HTTP/1.1" 200 337546
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:13:53 +0530] "GET /TodoApp/bower_components/bootstrap-css-only/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:13:53 +0530] "GET /TodoApp/bower_components/angular-bootstrap-datetimepicker/src/css/datetimepicker.css.map HTTP/1.1" 200 3992
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:13:59 +0530] "GET /TodoApp/loginWithGoogle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/ HTTP/1.1" 200 2025
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/bower_components/bootstrap-css-only/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/css/home.css HTTP/1.1" 200 5240
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/bower_components/angular-bootstrap-datetimepicker/src/css/datetimepicker.css HTTP/1.1" 200 3127
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/js/app.js HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/js/controller/userLoginController.js HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/bower_components/angular-bootstrap/ui-bootstrap-csp.css HTTP/1.1" 200 3989
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/js/controller/homeController.js HTTP/1.1" 200 10596
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/bower_components/jquery/dist/jquery.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/js/service/todoservice.js HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/js/controller/archivecontroller.js HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/js/controller/trashcontroller.js HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/css/loginRegfile.css HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/js/controller/userRegController.js HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/bower_components/angular-ui-router/release/angular-ui-router.js HTTP/1.1" 200 414773
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/js/controller/reminderController.js HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/js/service/generatenewAccess.js HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/bower_components/bootstrap/dist/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/bower_components/angular-sanitize/angular-sanitize.js HTTP/1.1" 200 29773
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/bower_components/angular-bootstrap/ui-bootstrap-tpls.js HTTP/1.1" 200 275010
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/bower_components/angular-tooltips/dist/angular-tooltips.js HTTP/1.1" 200 28491
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/bower_components/moment/moment.js HTTP/1.1" 200 128945
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/bower_components/angular-bootstrap-datetimepicker/src/js/datetimepicker.templates.js HTTP/1.1" 200 2957
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/bower_components/angular-bootstrap-datetimepicker/src/js/datetimepicker.js HTTP/1.1" 200 22071
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/bower_components/bootstrap-css-only/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/bower_components/angular-bootstrap-datetimepicker/src/css/datetimepicker.css.map HTTP/1.1" 200 3992
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/bower_components/angular-ui-sortable/sortable.js HTTP/1.1" 200 22485
0:0:0:0:0:0:0:1 - - [21/Aug/2017:10:15:50 +0530] "GET /TodoApp/bower_components/angular/angular.js HTTP/1.1" 200 1268263
