0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:01 +0530] "GET /TodoApp/bower_components/angular-bootstrap-datetimepicker/src/js/datetimepicker.js HTTP/1.1" 200 22071
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:01 +0530] "GET /TodoApp/bower_components/moment/moment.js HTTP/1.1" 200 128945
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:01 +0530] "GET /TodoApp/bower_components/angular-ui-sortable/sortable.js HTTP/1.1" 200 22485
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:01 +0530] "GET /TodoApp/bower_components/angular/angular.js HTTP/1.1" 200 1268263
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:01 +0530] "GET /TodoApp/bower_components/angular-bootstrap/ui-bootstrap-tpls.js HTTP/1.1" 200 275010
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:01 +0530] "GET /TodoApp/bower_components/bootstrap-css-only/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:01 +0530] "GET /TodoApp/bower_components/angular-bootstrap-datetimepicker/src/css/datetimepicker.css.map HTTP/1.1" 200 3992
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:01 +0530] "GET /TodoApp/bower_components/angular-ui-router/release/angular-ui-router.js.map HTTP/1.1" 200 337546
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/ HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/bower_components/bootstrap-css-only/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/css/loginRegfile.css HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/css/home.css HTTP/1.1" 200 6777
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/bower_components/angular-bootstrap-datetimepicker/src/css/datetimepicker.css HTTP/1.1" 200 3127
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/bower_components/angular/angular.js HTTP/1.1" 200 1268263
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/bower_components/jquery/dist/jquery.js HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/bower_components/bootstrap/dist/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/bower_components/angular-ui-router/release/angular-ui-router.js HTTP/1.1" 200 414773
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/js/app.js HTTP/1.1" 200 2253
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/bower_components/angular-bootstrap/ui-bootstrap-csp.css HTTP/1.1" 200 3989
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/js/controller/userRegController.js HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [29/Aug/2017:11:00:38 +0530] "GET /TodoApp/js/controller/userLoginController.js HTTP/1.1" 200 623
