127.0.0.1 - - [17/Aug/2017:09:27:26 +0530] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [17/Aug/2017:09:27:27 +0530] "GET /TodoApp/ HTTP/1.1" 200 2025
0:0:0:0:0:0:0:1 - - [17/Aug/2017:09:27:27 +0530] "GET /TodoApp/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2017:09:27:27 +0530] "GET /TodoApp/js/controller/reminderController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2017:09:27:27 +0530] "GET /TodoApp/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2017:09:27:27 +0530] "GET /TodoApp/js/controller/homeController.js HTTP/1.1" 200 9590
0:0:0:0:0:0:0:1 - - [17/Aug/2017:09:27:27 +0530] "GET /TodoApp/js/controller/userLoginController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2017:09:27:28 +0530] "GET /favicon.ico HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [17/Aug/2017:09:27:28 +0530] "GET /favicon.ico HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [17/Aug/2017:09:27:37 +0530] "POST /TodoApp/userlogin HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [17/Aug/2017:09:27:37 +0530] "GET /TodoApp/templates/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2017:09:27:38 +0530] "GET /TodoApp/templates/archive.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2017:09:27:38 +0530] "GET /TodoApp/templates/reminder.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2017:09:27:38 +0530] "GET /TodoApp/templates/trash.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2017:09:27:38 +0530] "POST /TodoApp/app/getAllTodoTask HTTP/1.1" 200 2834
0:0:0:0:0:0:0:1 - - [17/Aug/2017:09:27:45 +0530] "GET /TodoApp/bower_components/angular-ui-router/release/angular-ui-router.js.map HTTP/1.1" 200 337546
0:0:0:0:0:0:0:1 - - [17/Aug/2017:09:27:45 +0530] "GET /TodoApp/bower_components/bootstrap-css-only/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [17/Aug/2017:09:27:45 +0530] "GET /TodoApp/bower_components/angular-bootstrap-datetimepicker/src/css/datetimepicker.css.map HTTP/1.1" 200 3992
0:0:0:0:0:0:0:1 - - [17/Aug/2017:09:29:30 +0530] "GET /TodoApp/ HTTP/1.1" 200 2025
0:0:0:0:0:0:0:1 - - [17/Aug/2017:09:29:30 +0530] "GET /TodoApp/css/home.css HTTP/1.1" 200 5240
0:0:0:0:0:0:0:1 - - [17/Aug/2017:09:29:31 +0530] "GET /TodoApp/bower_components/bootstrap-css-only/css/bootstrap.css HTTP/1.1" 200 146010
